"Season","Team","Conference","StatName","StatValue"
"2025","App State","Sun Belt","kickReturnsOpponent","14"
"2025","App State","Sun Belt","kickReturnTDs","0"
"2025","App State","Sun Belt","kickReturnTDsOpponent","0"
"2025","App State","Sun Belt","kickReturnYards","484"
"2025","App State","Sun Belt","kickReturnYardsOpponent","274"
"2025","App State","Sun Belt","netPassingYards","3143"
"2025","App State","Sun Belt","netPassingYardsOpponent","3307"
"2025","App State","Sun Belt","passAttempts","479"
"2025","App State","Sun Belt","passAttemptsOpponent","440"
"2025","App State","Sun Belt","passCompletions","283"
"2025","App State","Sun Belt","passCompletionsOpponent","278"
"2025","App State","Sun Belt","passesIntercepted","12"
"2025","App State","Sun Belt","passesInterceptedOpponent","11"
"2025","App State","Sun Belt","passingTDs","23"
"2025","App State","Sun Belt","passingTDsOpponent","21"
"2025","App State","Sun Belt","penalties","82"
"2025","App State","Sun Belt","penaltiesOpponent","63"
"2025","App State","Sun Belt","penaltyYards","766"
"2025","App State","Sun Belt","penaltyYardsOpponent","605"
"2025","App State","Sun Belt","possessionTime","20297"
"2025","App State","Sun Belt","possessionTimeOpponent","22896"
"2025","App State","Sun Belt","puntReturns","17"
"2025","App State","Sun Belt","puntReturnsOpponent","17"
"2025","App State","Sun Belt","puntReturnTDs","1"
"2025","App State","Sun Belt","puntReturnTDsOpponent","0"
"2025","App State","Sun Belt","puntReturnYards","199"
"2025","App State","Sun Belt","puntReturnYardsOpponent","130"
"2025","App State","Sun Belt","rushingAttempts","377"
"2025","App State","Sun Belt","rushingAttemptsOpponent","431"
"2025","App State","Sun Belt","rushingTDs","11"
"2025","App State","Sun Belt","rushingTDsOpponent","21"
"2025","App State","Sun Belt","rushingYards","1482"
"2025","App State","Sun Belt","rushingYardsOpponent","1702"
"2025","App State","Sun Belt","sacks","28"
"2025","App State","Sun Belt","sacksOpponent","28"
"2025","App State","Sun Belt","tacklesForLoss","70"
"2025","App State","Sun Belt","tacklesForLossOpponent","55"
"2025","App State","Sun Belt","thirdDownConversions","58"
"2025","App State","Sun Belt","thirdDownConversionsOpponent","73"
"2025","App State","Sun Belt","thirdDowns","176"
"2025","App State","Sun Belt","thirdDownsOpponent","173"
"2025","App State","Sun Belt","totalYards","4625"
"2025","App State","Sun Belt","totalYardsOpponent","5009"
"2025","App State","Sun Belt","turnovers","18"
"2025","App State","Sun Belt","turnoversOpponent","18"
"2025","Arizona","Big 12","firstDowns","264"
"2025","Arizona","Big 12","firstDownsOpponent","196"
"2025","Arizona","Big 12","fourthDownConversions","18"
"2025","Arizona","Big 12","fourthDownConversionsOpponent","18"
"2025","Arizona","Big 12","fourthDowns","27"
"2025","Arizona","Big 12","fourthDownsOpponent","32"
"2025","Arizona","Big 12","fumblesLost","5"
"2025","Arizona","Big 12","fumblesLostOpponent","9"
"2025","Arizona","Big 12","fumblesRecovered","9"
"2025","Arizona","Big 12","fumblesRecoveredOpponent","5"
"2025","Arizona","Big 12","games","12"
"2025","Arizona","Big 12","interceptions","7"
"2025","Arizona","Big 12","interceptionsOpponent","19"
